Player,Injury,Start Date,Return Date,Days Missed,Injury Category
 A.J. Green,Strained Left Quadriceps,2025-01-21,2025-01-31,10,Thigh
 A.J. Green,Sprained Left Ankle,2024-04-11,2024-04-20,9,Ankle
 A.J. Green,Lumbar Injury,2025-01-02,2025-01-04,2,Back/Spine
 A.J. Green,Illness,2024-03-24,2024-03-25,1,General Illness
 A.J. Green,Nasal Fracture,2024-01-02,2024-01-04,2,Face/Nose
 A.J. Griffin,Lower Leg Injury,2024-03-16,2024-04-12,27,General Injury
 A.J. Griffin,Illness,2023-11-21,2023-11-22,1,General Illness
 A.J. Griffin,Illness,2024-02-12,2024-02-23,11,General Illness
 A.J. Johnson,Achilles Tendinitis,2024-11-22,2024-11-26,4,Ankle
 Aaron Gordon,Strained Right Calf,2024-12-26,2025-01-12,17,Calf/Shin
 Aaron Gordon,Right Calf Injury,2025-01-15,2025-01-17,2,Calf/Shin
 Aaron Gordon,Strained Right Calf,2024-12-07,2024-12-08,1,Calf/Shin
 Aaron Gordon,Strained Right Calf,2024-11-05,2024-12-01,26,Calf/Shin
 Aaron Gordon,Strained Right Foot,2024-04-06,2024-04-10,4,Foot/Toe
 Aaron Gordon,Sprained Right Foot,2024-03-25,2024-03-27,2,Foot/Toe
 Aaron Gordon,Various Injuries,2023-12-27,2024-01-01,5,General Injury
 Aaron Gordon,Strained Right Heel,2023-11-26,2023-12-02,6,Foot/Toe
 Aaron Gordon,Right Calf Injury,2025-02-03,2025-02-05,2,Calf/Shin
 Aaron Nesmith,Sprained Left Ankle,2024-11-08,2025-01-16,69,Ankle
 Aaron Nesmith,Bruised Right Knee,2024-03-25,2024-03-27,2,Knee
 Aaron Nesmith,Shin Injury,2024-01-13,2024-01-19,6,Calf/Shin
 Aaron Nesmith,Lower Leg Injury,2024-02-21,2024-03-01,9,General Injury
 Aaron Nesmith,Right Wrist Injury,2023-11-22,2023-11-26,4,Wrist/Hand/Finger
 Adam Flagler,Bruised Right Hand,2024-11-27,2024-11-29,2,Wrist/Hand/Finger
 Adama Sanogo,Right Knee Injury,2025-01-13,2025-01-19,6,Knee
 Adama Sanogo,Knee Injury,2024-11-20,2024-11-29,9,Knee
 Adem Bona,Knee Injury,2024-12-05,2024-12-19,14,Knee
 Admiral Schofield,Illness,2024-01-09,2024-01-13,4,General Illness
 Al Horford,Illness,2024-11-22,2024-11-24,2,General Illness
 Al Horford,Sprained Left Big Toe,2024-04-09,2024-04-11,2,Foot/Toe
 Al Horford,Sprained Left Big Toe,2024-03-28,2024-03-29,1,Foot/Toe
 Al Horford,Sprained Left Big Toe,2024-03-22,2024-03-23,1,Foot/Toe
 Al Horford,Sprained Left Big Toe,2024-03-18,2024-03-19,1,Foot/Toe
 Al Horford,Sprained Left Big Toe,2024-03-12,2024-03-13,1,Foot/Toe
 Al Horford,Sprained Left Toe,2024-02-14,2024-02-21,7,Foot/Toe
 Al Horford,Sprained Left Big Toe,2024-04-12,2024-04-21,9,Foot/Toe
 Al Horford,Strained Neck,2024-01-30,2024-01-31,1,Neck
 Al Horford,Illness,2024-01-11,2024-01-13,2,General Illness
 Al Horford,Sprained Left Big Toe,2025-01-29,2025-01-31,2,Foot/Toe
 Al Horford,Sprained Big Toe,2024-12-02,2024-12-03,1,Foot/Toe
 Al Horford,Sprained Left Big Toe,2024-12-07,2024-12-11,4,Foot/Toe
 Al Horford,Sprained Left Big Toe,2025-01-18,2025-01-19,1,Foot/Toe
 Al Horford,Sprained Left Big Toe,2025-01-22,2025-01-23,1,Foot/Toe
 Al Horford,Illness,2024-11-25,2024-11-28,3,General Illness
 Alec Burks,Sore Left Forearm,2023-11-01,2023-11-12,11,Soft Tissue
 Alec Burks,Sprained Right Shoulder,2024-03-27,2024-03-31,4,Shoulder
 Aleksandar Vezenkov / Sasha Vezenkov,Sprained Right Ankle,2024-02-11,2024-03-31,49,Ankle
 Aleksandar Vezenkov / Sasha Vezenkov,Sprained Right Ankle,2024-01-24,2024-02-07,14,Ankle
 Aleksandar Vezenkov / Sasha Vezenkov,Left Thumb Injury,2023-11-20,2023-11-21,1,Wrist/Hand/Finger
 Aleksej Pokusevski,Illness,2024-03-31,2024-04-01,1,General Illness
 Alex Caruso,Sprained Left Ankle,2023-12-11,2023-12-14,3,Ankle
 Alex Caruso,Sprained Left Ankle,2023-12-16,2023-12-18,2,Ankle
 Alex Caruso,Cervical Injury,2024-01-05,2024-01-08,3,Neck
 Alex Caruso,Toe Injury,2024-02-12,2024-02-14,2,Foot/Toe
 Alex Caruso,Bruised Left Ankle,2024-04-07,2024-04-09,2,Ankle
 Alex Caruso,Left Hip Injury,2024-12-25,2025-01-13,19,Hip/Groin
 Alex Caruso,Toe Injury,2023-11-26,2023-11-28,2,Foot/Toe
 Alex Caruso,Sore Right Hip,2024-11-13,2024-11-18,5,Hip/Groin
 Alex Caruso,Right Hip Injury,2024-11-24,2024-12-05,11,Hip/Groin
 Alex Caruso,Sprained Ankle,2025-01-31,2025-02-04,4,Ankle
 Alex Caruso,Bruised Left Ankle,2024-04-12,2024-04-13,1,Ankle
 Alex Caruso,Strained Right Hamstring,2024-02-28,2024-03-01,2,Thigh
 Alex Caruso,Toe Injury,2023-11-12,2023-11-15,3,Foot/Toe
 Alex Len,Illness,2024-02-25,2024-02-26,1,General Illness
 Alex Len,Sprained Right Ankle,2023-11-14,2023-12-26,42,Ankle
 Alex Sarr,Sore Lower Back,2024-12-07,2024-12-12,5,Back/Spine
 Alex Sarr,Sore Lower Back,2024-12-23,2024-12-26,3,Back/Spine
 Alex Sarr,Illness,2025-01-08,2025-01-10,2,General Illness
 Alperen Sengun,Bruised Left Calf,2025-01-30,2025-02-04,5,Calf/Shin
 Alperen Sengun,Sore Lower Back,2024-02-10,2024-02-12,2,Back/Spine
 Amare Stoudemire / Amar'e Stoudemire,Sprained Left Ankle,2015-02-19,2015-02-22,3,Ankle
 Amari Bailey,Illness,2024-04-03,2024-04-10,7,General Illness
 Amari Bailey,Illness,2024-03-13,2024-03-15,2,General Illness
 Amen Thompson,Sprained Right Ankle,2023-11-04,2023-12-06,32,Ankle
 Amen Thompson,Illness,2023-12-13,2023-12-20,7,General Illness
 Amen Thompson,Various Injuries,2024-04-05,2024-04-07,2,General Injury
 Amen Thompson,Tightness In Left Calf,2025-01-18,2025-01-20,2,Calf/Shin
 Andre Drummond,Illness,2024-11-13,2024-11-15,2,General Illness
 Andre Drummond,Sprained Right Ankle,2024-12-02,2024-12-06,4,Ankle
 Andre Drummond,Left Big Toe Injury,2024-12-25,2025-01-01,7,Foot/Toe
 Andre Drummond,Sprained Left Toe,2025-01-02,2025-01-03,1,Foot/Toe
 Andre Drummond,Sprained Left Toe,2025-01-12,2025-01-18,6,Foot/Toe
 Andre Drummond,Toe Injury,2025-01-19,2025-01-21,2,Foot/Toe
 Andre Jackson Jr.,Illness,2024-02-27,2024-02-29,2,General Illness
 Andre Jackson Jr.,Sprained Right Wrist,2024-02-03,2024-02-04,1,Wrist/Hand/Finger
 Andre Jackson Jr.,Lower Back Spasms,2023-12-02,2023-12-05,3,Back/Spine
 Andrew Nembhard,Back Injury,2024-01-05,2024-01-08,3,Back/Spine
 Andrew Nembhard,Sore Left Knee,2024-11-13,2024-12-01,18,Knee
 Andrew Nembhard,Sore Left Knee,2024-11-01,2024-11-04,3,Knee
 Andrew Nembhard,Back Injury,2024-01-18,2024-01-21,3,Back/Spine
 Andrew Nembhard,Back Injury,2025-01-29,2025-01-31,2,Back/Spine
 Andrew Nembhard,Bruised Right Knee,2023-12-08,2023-12-21,13,Knee
 Andrew Nembhard,Sore Lower Back,2023-11-18,2023-11-24,6,Back/Spine
 Andrew Wiggins,Sore Left Ankle,2024-04-05,2024-04-09,4,Ankle
 Andrew Wiggins,Right Finger Injury,2023-11-30,2023-12-06,6,Wrist/Hand/Finger
 Andrew Wiggins,Illness,2023-12-22,2023-12-25,3,General Illness
 Andrew Wiggins,Sprained Left Ankle,2024-02-04,2024-02-07,3,Ankle
 Andrew Wiggins,Back Injury,2024-10-29,2024-11-01,3,Back/Spine
 Andrew Wiggins,Right Ankle Impingement,2024-12-08,2024-12-15,7,Ankle
 Anfernee Simons,Surgery On Right Thumb,2023-10-27,2023-12-06,40,Wrist/Hand/Finger
 Anfernee Simons,Illness,2023-12-29,2024-01-03,5,General Illness
 Anfernee Simons,Illness,2024-01-19,2024-01-21,2,General Illness
 Anfernee Simons,Sprained Left Ankle,2024-02-09,2024-02-13,4,Ankle
 Anfernee Simons,Left Knee Tendinitis,2024-03-14,2024-03-16,2,Knee
