Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
20077.0,2014-01-01,Clippers,, Reggie Bullock,placed on IL
20078.0,2014-01-01,Clippers, Maalik Wayns,,activated from IL
20079.0,2014-01-01,Pelicans, Eric Gordon,,activated from IL
20080.0,2014-01-01,Blazers, C.J. McCollum,,activated from IL
20081.0,2014-01-02,Cavaliers,, Kyrie Irving,placed on IL with bruised left knee
20082.0,2014-01-02,Cavaliers, Carrick Felix,,activated from IL
20083.0,2014-01-02,Heat,, James Jones (Andrew),placed on IL
20084.0,2014-01-02,Heat, Chris Andersen,,activated from IL
20085.0,2014-01-02,Magic,, Solomon Jones,placed on IL with sprained left ankle
20086.0,2014-01-02,Magic, Solomon Jones,,activated from IL
20087.0,2014-01-03,Celtics,, MarShon Brooks,placed on IL
20088.0,2014-01-03,Hawks,, Jared Cunningham,placed on IL
20089.0,2014-01-03,Raptors,, Tyler Hansbrough,placed on IL with sprained left ankle
20090.0,2014-01-03,Raptors, Austin Daye,,activated from IL
20091.0,2014-01-03,Raptors, Julyan Stone,,activated from IL
20092.0,2014-01-03,Raptors,, Dwight Buycks,placed on IL
20093.0,2014-01-04,Heat,, Shane Battier,placed on IL with sore quadriceps
20094.0,2014-01-04,Heat, James Jones (Andrew),,activated from IL
20095.0,2014-01-04,Nets,, Kevin Garnett,placed on IL for rest
20096.0,2014-01-04,Pelicans,, Ryan Anderson,placed on IL with concussion / herniated disc in neck (out for season)
20097.0,2014-01-04,Spurs,, Boris Diaw,placed on IL with strep throat
20098.0,2014-01-06,Clippers,, Chris Paul,placed on IL with separated right shoulder
20099.0,2014-01-06,Clippers, Reggie Bullock,,activated from IL
20100.0,2014-01-06,Magic, Nikola Vucevic,,activated from IL (P)
20101.0,2014-01-06,Nets, Kevin Garnett,,activated from IL
20102.0,2014-01-06,Timberwolves,, Shabazz Muhammad,placed on IL
20103.0,2014-01-06,Timberwolves, Ronny Turiaf,,activated from IL
20104.0,2014-01-06,Nets,, Tornike Shengelia,placed on IL
20105.0,2014-01-06,76ers, Lorenzo Brown,,activated from IL
20106.0,2014-01-07,Blazers,, Allen Crabbe,placed on IL
20107.0,2014-01-07,Blazers, C.J. McCollum,,activated from IL
20108.0,2014-01-07,Cavaliers,, Jarrett Jack,placed on IL with back spasms
20109.0,2014-01-07,Cavaliers, Kyrie Irving,,activated from IL
20110.0,2014-01-07,Jazz,, Rudy Gobert,placed on IL
20111.0,2014-01-07,Knicks,, Metta World Peace / Ron Artest,placed on IL with sore left knee
20112.0,2014-01-07,Knicks, Raymond Felton,,activated from IL
20113.0,2014-01-07,Pelicans, Jason Smith,,activated from IL
20114.0,2014-01-07,Spurs,, Nando De Colo,placed on IL
20115.0,2014-01-07,Spurs, Boris Diaw,,activated from IL
20116.0,2014-01-07,Suns,, Eric Bledsoe,placed on IL with sprained right knee
20117.0,2014-01-07,Suns, Alex Len,,activated from IL
20118.0,2014-01-08,Mavericks,, Shawn Marion,placed on IL with bruised right shoulder
20119.0,2014-01-08,Mavericks, Ricky Ledo,,activated from IL
20120.0,2014-01-08,Pacers,, Lance Stephenson,placed on IL with bruised right knee
20121.0,2014-01-08,Pacers, Solomon Hill,,activated from IL
20122.0,2014-01-08,Timberwolves,, Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with strained left groin
20123.0,2014-01-08,Timberwolves, Chase Budinger,,activated from IL
20124.0,2014-01-10,Cavaliers,, Carrick Felix,placed on IL
20125.0,2014-01-10,Cavaliers,, Henry Sims,placed on IL
20126.0,2014-01-10,Cavaliers, Jarrett Jack,,activated from IL
20127.0,2014-01-10,Clippers,, Reggie Bullock,placed on IL
20128.0,2014-01-10,Clippers, J.J. Redick,,activated from IL
20129.0,2014-01-10,Pacers,, Solomon Hill,placed on IL
20130.0,2014-01-10,Pacers, Lance Stephenson,,activated from IL
20131.0,2014-01-10,Timberwolves,, Robbie Hummel,placed on IL
20132.0,2014-01-10,Timberwolves, Luc Richard Mbah a Moute / Luc Mbah a Moute,,activated from IL
20133.0,2014-01-11,Nets,, Deron Williams,placed on IL with sprained left ankle
20134.0,2014-01-11,Nets, Tornike Shengelia,,activated from IL
20135.0,2014-01-11,Thunder,, Andre Roberson,placed on IL
20136.0,2014-01-12,Spurs,, Tiago Splitter,placed on IL with sprained right shoulder
20137.0,2014-01-12,Spurs, Nando De Colo,,activated from IL
20138.0,2014-01-13,Celtics, MarShon Brooks,,activated from IL
20139.0,2014-01-13,Jazz,, Gordon Hayward,placed on IL with strained left hip flexor
20140.0,2014-01-13,Jazz, Rudy Gobert,,activated from IL
20141.0,2014-01-13,Mavericks,, Shane Larkin,placed on IL with sprained right ankle
20142.0,2014-01-13,Mavericks, Shawn Marion,,activated from IL
20143.0,2014-01-14,Bobcats,, Jeffery Taylor / Jeff Taylor (b),placed on IL with torn right Achilles tendon (out for season)
20144.0,2014-01-14,Bobcats, Michael Kidd-Gilchrist,,activated from IL
20145.0,2014-01-14,Grizzlies, Marc Gasol,,activated from IL
