Date,Team,Acquired,Relinquished,Notes
2015-02-11,Blazers,,• Chris Kaman,placed on IL with ankle injury
2015-02-11,Blazers,• Victor Claver,,activated from IL
2015-02-11,Grizzlies,• Russ Smith,,activated from IL
2015-02-11,Kings,• Derrick Williams,,returned to lineup
2015-02-11,Knicks,,• Carmelo Anthony,placed on IL with knee injury (out for season)
2015-02-11,Knicks,,• Lance Thomas,placed on IL with ankle injury
2015-02-11,Knicks,• Cleanthony Early,,activated from IL
2015-02-11,Knicks,• Pablo Prigioni,,returned to lineup
2015-02-11,Knicks,• Travis Wear,,activated from IL
2015-02-11,Magic,,• Tobias Harris,placed on IL
2015-02-11,Mavericks,,• Tyson Chandler,placed on IL with sprained left ankle
2015-02-11,Pacers,,• Lavoy Allen,placed on IL
2015-02-11,Pacers,• Ian Mahinmi,,activated from IL
2015-02-11,Pistons,,• Caron Butler,placed on IL with back spasms
2015-02-11,Spurs,,• Reggie Williams (Leon),placed on IL
2015-02-11,Spurs,• Emanuel Ginobili / Manu Ginobili,,activated from IL
2015-02-11,Timberwolves,,• Gary Neal,placed on IL
2015-02-11,Timberwolves,• Glenn Robinson III,,activated from IL
2015-02-11,Wizards,,• Kris Humphries,sore lower back (DTD)
2015-02-12,Bulls,,• Jimmy Butler,placed on IL with strained right shoulder
2015-02-12,Cavaliers,,• Kevin Love,right eye injury (DTD)
2015-02-19,Clippers,,• Austin Rivers,left ankle injury / sore left foot (DTD)
2015-02-19,Knicks,,• Carmelo Anthony,surgery on left knee to repair patellar tendon (out for season)
2015-02-19,Mavericks,,• Amare Stoudemire / Amar'e Stoudemire,placed on IL with sprained left ankle
2015-02-19,Mavericks,,• Dwight Powell,placed on IL
2015-02-19,Mavericks,• Rajon Rondo,,activated from IL
2015-02-19,Mavericks,• Tyson Chandler,,activated from IL
2015-02-19,Bucks,• Kenyon Martin (Sr.),,returned to lineup
2015-02-19,Suns,• Kendall Marshall,,returned to lineup
2015-02-20,76ers,,• Isaiah Canaan,placed on IL
2015-02-20,76ers,• Jason Richardson,,activated from IL
2015-02-20,Blazers,,• Alonzo Gee,placed on IL
2015-02-20,Blazers,,• Arron Afflalo,placed on IL
2015-02-20,Blazers,• Chris Kaman,,activated from IL
2015-02-20,Bucks,,• Ersan Ilyasova,illness (DTD)
2015-02-20,Bulls,,• Cameron Bairstow,placed on IL
2015-02-20,Bulls,• Jimmy Butler,,activated from IL
2015-02-20,Bulls,• Kirk Hinrich,,activated from IL
2015-02-20,Cavaliers,• Kevin Love,,returned to lineup
2015-02-20,Celtics,,• Jared Sullinger,placed on IL with stress fracture in left foot
2015-02-20,Celtics,• Shavlik Randolph,,activated from IL
2015-02-20,Hawks,• Mike Muscala,,activated from IL
2015-02-20,Hawks,• Shelvin Mack,,activated from IL
2015-02-20,Heat,,• Chris Bosh,placed on IL with blood clot in lungs (out for season)
