Player,Injury,Start Date,Return Date,Days Missed,Injury Category
 A.J. Green,strained left quadriceps,2025-01-21,2025-01-31,10,Unknown
 A.J. Green,sprained left ankle,2024-04-11,2024-04-20,9,Ankle
 A.J. Green,lumbar injury,2025-01-02,2025-01-04,2,Unknown
 A.J. Green,illness,2024-03-24,2024-03-25,1,Unknown
 A.J. Green,nasal fracture,2024-01-02,2024-01-04,2,Unknown
 A.J. Griffin,lower leg injury,2024-03-16,2024-04-12,27,Unknown
 A.J. Griffin,illness,2023-11-21,2023-11-22,1,Unknown
 A.J. Griffin,illness,2024-02-12,2024-02-23,11,Unknown
 A.J. Johnson,Achilles tendinitis,2024-11-22,2024-11-26,4,Ankle
 Aaron Gordon,strained right calf,2024-12-26,2025-01-12,17,Calf
 Aaron Gordon,right calf injury,2025-01-15,2025-01-17,2,Calf
 Aaron Gordon,strained right calf,2024-12-07,2024-12-08,1,Calf
 Aaron Gordon,strained right calf,2024-11-05,2024-12-01,26,Calf
 Aaron Gordon,strained right foot,2024-04-06,2024-04-10,4,Foot
 Aaron Gordon,sprained right foot,2024-03-25,2024-03-27,2,Foot
 Aaron Gordon,various injuries,2023-12-27,2024-01-01,5,Unknown
 Aaron Gordon,strained right heel,2023-11-26,2023-12-02,6,Unknown
 Aaron Gordon,right calf injury,2025-02-03,2025-02-05,2,Calf
 Aaron Nesmith,sprained left ankle,2024-11-08,2025-01-16,69,Ankle
 Aaron Nesmith,bruised right knee,2024-03-25,2024-03-27,2,Knee
 Aaron Nesmith,shin injury,2024-01-13,2024-01-19,6,Unknown
 Aaron Nesmith,lower leg injury,2024-02-21,2024-03-01,9,Unknown
 Aaron Nesmith,right wrist injury,2023-11-22,2023-11-26,4,Wrist
 Adam Flagler,bruised right hand,2024-11-27,2024-11-29,2,Hand/Finger
 Adama Sanogo,right knee injury,2025-01-13,2025-01-19,6,Knee
 Adama Sanogo,knee injury,2024-11-20,2024-11-29,9,Knee
 Adem Bona,knee injury,2024-12-05,2024-12-19,14,Knee
 Admiral Schofield,illness,2024-01-09,2024-01-13,4,Unknown
 Al Horford,illness,2024-11-22,2024-11-24,2,Unknown
