Player,Injury,Start Date,Return Date,Days Missed,Injury Category,Refined Injury Category
 A.J. Green,strained left quadriceps,2025-01-21,2025-01-31,10,Unknown,Unknown
 A.J. Green,sprained left ankle,2024-04-11,2024-04-20,9,Ankle,Ankle
 A.J. Green,lumbar injury,2025-01-02,2025-01-04,2,Unknown,Unknown
 A.J. Green,illness,2024-03-24,2024-03-25,1,Unknown,General Ailments
 A.J. Green,nasal fracture,2024-01-02,2024-01-04,2,Unknown,Bone Fracture
 A.J. Griffin,lower leg injury,2024-03-16,2024-04-12,27,Unknown,Unknown
 A.J. Griffin,illness,2023-11-21,2023-11-22,1,Unknown,General Ailments
 A.J. Griffin,illness,2024-02-12,2024-02-23,11,Unknown,General Ailments
 A.J. Johnson,Achilles tendinitis,2024-11-22,2024-11-26,4,Ankle,Ankle
 Aaron Gordon,strained right calf,2024-12-26,2025-01-12,17,Calf,Soft Tissue Injury
 Aaron Gordon,right calf injury,2025-01-15,2025-01-17,2,Calf,Soft Tissue Injury
 Aaron Gordon,strained right calf,2024-12-07,2024-12-08,1,Calf,Soft Tissue Injury
 Aaron Gordon,strained right calf,2024-11-05,2024-12-01,26,Calf,Soft Tissue Injury
 Aaron Gordon,strained right foot,2024-04-06,2024-04-10,4,Foot,Unknown
 Aaron Gordon,sprained right foot,2024-03-25,2024-03-27,2,Foot,Unknown
 Aaron Gordon,various injuries,2023-12-27,2024-01-01,5,Unknown,Unknown
 Aaron Gordon,strained right heel,2023-11-26,2023-12-02,6,Unknown,Unknown
 Aaron Gordon,right calf injury,2025-02-03,2025-02-05,2,Calf,Soft Tissue Injury
 Aaron Nesmith,sprained left ankle,2024-11-08,2025-01-16,69,Ankle,Ankle
 Aaron Nesmith,bruised right knee,2024-03-25,2024-03-27,2,Knee,Knee
 Aaron Nesmith,shin injury,2024-01-13,2024-01-19,6,Unknown,Unknown
 Aaron Nesmith,lower leg injury,2024-02-21,2024-03-01,9,Unknown,Unknown
 Aaron Nesmith,right wrist injury,2023-11-22,2023-11-26,4,Wrist,Wrist
 Adam Flagler,bruised right hand,2024-11-27,2024-11-29,2,Hand/Finger,Hand/Finger
 Adama Sanogo,right knee injury,2025-01-13,2025-01-19,6,Knee,Knee
 Adama Sanogo,knee injury,2024-11-20,2024-11-29,9,Knee,Knee
 Adem Bona,knee injury,2024-12-05,2024-12-19,14,Knee,Knee
 Admiral Schofield,illness,2024-01-09,2024-01-13,4,Unknown,General Ailments
 Al Horford,illness,2024-11-22,2024-11-24,2,Unknown,General Ailments
 Al Horford,sprained left big toe,2024-04-09,2024-04-11,2,Foot,Unknown
 Al Horford,sprained left big toe,2024-03-28,2024-03-29,1,Foot,Unknown
 Al Horford,sprained left big toe,2024-03-22,2024-03-23,1,Foot,Unknown
 Al Horford,sprained left big toe,2024-03-18,2024-03-19,1,Foot,Unknown
 Al Horford,sprained left big toe,2024-03-12,2024-03-13,1,Foot,Unknown
 Al Horford,sprained left toe,2024-02-14,2024-02-21,7,Foot,Unknown
 Al Horford,sprained left big toe,2024-04-12,2024-04-21,9,Foot,Unknown
 Al Horford,strained neck,2024-01-30,2024-01-31,1,Neck,Unknown
 Al Horford,illness,2024-01-11,2024-01-13,2,Unknown,General Ailments
 Al Horford,sprained left big toe,2025-01-29,2025-01-31,2,Foot,Unknown
 Al Horford,sprained big toe,2024-12-02,2024-12-03,1,Foot,Unknown
 Al Horford,sprained left big toe,2024-12-07,2024-12-11,4,Foot,Unknown
 Al Horford,sprained left big toe,2025-01-18,2025-01-19,1,Foot,Unknown
 Al Horford,sprained left big toe,2025-01-22,2025-01-23,1,Foot,Unknown
 Al Horford,illness,2024-11-25,2024-11-28,3,Unknown,General Ailments
 Alec Burks,sore left forearm,2023-11-01,2023-11-12,11,Unknown,Unknown
 Alec Burks,sprained right shoulder,2024-03-27,2024-03-31,4,Shoulder,Shoulder
 Aleksandar Vezenkov / Sasha Vezenkov,sprained right ankle,2024-02-11,2024-03-31,49,Ankle,Ankle
 Aleksandar Vezenkov / Sasha Vezenkov,sprained right ankle,2024-01-24,2024-02-07,14,Ankle,Ankle
 Aleksandar Vezenkov / Sasha Vezenkov,left thumb injury,2023-11-20,2023-11-21,1,Unknown,Unknown
 Aleksej Pokusevski,illness,2024-03-31,2024-04-01,1,Unknown,General Ailments
 Alex Caruso,sprained left ankle,2023-12-11,2023-12-14,3,Ankle,Ankle
 Alex Caruso,sprained left ankle,2023-12-16,2023-12-18,2,Ankle,Ankle
 Alex Caruso,cervical injury,2024-01-05,2024-01-08,3,Unknown,Unknown
 Alex Caruso,toe injury,2024-02-12,2024-02-14,2,Foot,Unknown
 Alex Caruso,bruised left ankle,2024-04-07,2024-04-09,2,Ankle,Ankle
 Alex Caruso,left hip injury,2024-12-25,2025-01-13,19,Hip,Unknown
 Alex Caruso,toe injury,2023-11-26,2023-11-28,2,Foot,Unknown
 Alex Caruso,sore right hip,2024-11-13,2024-11-18,5,Hip,Unknown
 Alex Caruso,right hip injury,2024-11-24,2024-12-05,11,Hip,Unknown
 Alex Caruso,sprained ankle,2025-01-31,2025-02-04,4,Ankle,Ankle
 Alex Caruso,bruised left ankle,2024-04-12,2024-04-13,1,Ankle,Ankle
 Alex Caruso,strained right hamstring,2024-02-28,2024-03-01,2,Hamstring,Soft Tissue Injury
 Alex Caruso,toe injury,2023-11-12,2023-11-15,3,Foot,Unknown
 Alex Len,illness,2024-02-25,2024-02-26,1,Unknown,General Ailments
 Alex Len,sprained right ankle,2023-11-14,2023-12-26,42,Ankle,Ankle
 Alex Sarr,sore lower back,2024-12-07,2024-12-12,5,Back,Back
 Alex Sarr,sore lower back,2024-12-23,2024-12-26,3,Back,Back
 Alex Sarr,illness,2025-01-08,2025-01-10,2,Unknown,General Ailments
 Alperen Sengun,bruised left calf,2025-01-30,2025-02-04,5,Calf,Soft Tissue Injury
 Alperen Sengun,sore lower back,2024-02-10,2024-02-12,2,Back,Back
 Amare Stoudemire / Amar'e Stoudemire,sprained left ankle,2015-02-19,2015-02-22,3,Ankle,Ankle
 Amari Bailey,illness,2024-04-03,2024-04-10,7,Unknown,General Ailments
 Amari Bailey,illness,2024-03-13,2024-03-15,2,Unknown,General Ailments
 Amen Thompson,sprained right ankle,2023-11-04,2023-12-06,32,Ankle,Ankle
 Amen Thompson,illness,2023-12-13,2023-12-20,7,Unknown,General Ailments
 Amen Thompson,various injuries,2024-04-05,2024-04-07,2,Unknown,Unknown
 Amen Thompson,tightness in left calf,2025-01-18,2025-01-20,2,Calf,Soft Tissue Injury
 Andre Drummond,illness,2024-11-13,2024-11-15,2,Unknown,General Ailments
 Andre Drummond,sprained right ankle,2024-12-02,2024-12-06,4,Ankle,Ankle
 Andre Drummond,left big toe injury,2024-12-25,2025-01-01,7,Foot,Unknown
 Andre Drummond,sprained left toe,2025-01-02,2025-01-03,1,Foot,Unknown
 Andre Drummond,sprained left toe,2025-01-12,2025-01-18,6,Foot,Unknown
 Andre Drummond,toe injury,2025-01-19,2025-01-21,2,Foot,Unknown
 Andre Jackson Jr.,illness,2024-02-27,2024-02-29,2,Unknown,General Ailments
 Andre Jackson Jr.,sprained right wrist,2024-02-03,2024-02-04,1,Wrist,Wrist
 Andre Jackson Jr.,lower back spasms,2023-12-02,2023-12-05,3,Back,Back
 Andrew Nembhard,back injury,2024-01-05,2024-01-08,3,Back,Back
 Andrew Nembhard,sore left knee,2024-11-13,2024-12-01,18,Knee,Knee
 Andrew Nembhard,sore left knee,2024-11-01,2024-11-04,3,Knee,Knee
 Andrew Nembhard,back injury,2024-01-18,2024-01-21,3,Back,Back
 Andrew Nembhard,back injury,2025-01-29,2025-01-31,2,Back,Back
 Andrew Nembhard,bruised right knee,2023-12-08,2023-12-21,13,Knee,Knee
 Andrew Nembhard,sore lower back,2023-11-18,2023-11-24,6,Back,Back
 Andrew Wiggins,sore left ankle,2024-04-05,2024-04-09,4,Ankle,Ankle
 Andrew Wiggins,right finger injury,2023-11-30,2023-12-06,6,Hand/Finger,Hand/Finger
 Andrew Wiggins,illness,2023-12-22,2023-12-25,3,Unknown,General Ailments
 Andrew Wiggins,sprained left ankle,2024-02-04,2024-02-07,3,Ankle,Ankle
 Andrew Wiggins,back injury,2024-10-29,2024-11-01,3,Back,Back
 Andrew Wiggins,right ankle impingement,2024-12-08,2024-12-15,7,Ankle,Ankle
 Anfernee Simons,surgery on right thumb,2023-10-27,2023-12-06,40,Unknown,General Ailments
 Anfernee Simons,illness,2023-12-29,2024-01-03,5,Unknown,General Ailments
 Anfernee Simons,illness,2024-01-19,2024-01-21,2,Unknown,General Ailments
 Anfernee Simons,sprained left ankle,2024-02-09,2024-02-13,4,Ankle,Ankle
 Anfernee Simons,left knee tendinitis,2024-03-14,2024-03-16,2,Knee,Knee
 Anfernee Simons,illness,2024-11-13,2024-11-22,9,Unknown,General Ailments
 Anfernee Simons,strained right elbow,2025-01-19,2025-01-21,2,Elbow,Elbow
 Anthony Black,back spasms,2025-01-01,2025-01-05,4,Back,Back
 Anthony Davis,Achilles injury,2024-01-30,2024-02-03,4,Ankle,Ankle
 Anthony Davis,hyperextended left knee,2024-03-27,2024-03-29,2,Knee,Knee
 Anthony Davis,headache,2024-04-09,2024-04-12,3,Unknown,Unknown
 Anthony Davis,heel injury,2024-11-06,2024-11-08,2,Unknown,Unknown
 Anthony Davis,plantar fasciitis in left foot,2025-01-17,2025-01-19,2,Foot,Unknown
 Anthony Davis,left adductor injury,2023-12-15,2023-12-18,3,Unknown,Unknown
 Anthony Davis,left adductor injury,2023-11-08,2023-11-10,2,Unknown,Unknown
 Anthony Edwards,illness,2025-02-01,2025-02-03,2,Unknown,General Ailments
 Anthony Edwards,right hip pointer,2023-12-11,2023-12-14,3,Hip,Unknown
 Anthony Edwards,right hip pointer,2023-11-30,2023-12-06,6,Hip,Unknown
 Anthony Gill,sore right knee,2024-04-07,2024-04-09,2,Knee,Knee
 Anthony Gill,left hamstring injury,2023-10-12,2023-10-28,16,Hamstring,Soft Tissue Injury
 Ariel Hukporti,illness,2025-01-25,2025-01-27,2,Unknown,General Ailments
 Ariel Hukporti,sprained left ankle,2024-12-11,2024-12-19,8,Ankle,Ankle
 Arron Afflalo,placed on IL,2015-02-20,2015-02-22,2,Unknown,Unknown
 Ausar Thompson,illness,2025-01-06,2025-01-09,3,Unknown,General Ailments
 Ausar Thompson,groin injury,2024-12-07,2024-12-11,4,Groin,Groin
 Ausar Thompson,blood clots,2024-10-21,2024-11-11,21,Unknown,Unknown
 Austin Reaves,bruised pelvis,2024-12-01,2024-12-13,12,Unknown,Unknown
 Austin Rivers,left ankle injury / sore left foot,2015-02-19,2015-02-21,2,Ankle,Ankle
 Ayo Dosunmu,illness,2023-11-03,2023-11-06,3,Unknown,General Ailments
 Ayo Dosunmu,strained right calf,2024-12-28,2025-01-15,18,Calf,Soft Tissue Injury
 Ayo Dosunmu,strained soleus muscle in right calf,2025-01-20,2025-01-22,2,Calf,Soft Tissue Injury
 Ben Sheppard,strained left oblique,2024-11-18,2024-12-19,31,Unknown,Unknown
 Ben Sheppard,illness,2024-03-01,2024-03-05,4,Unknown,General Ailments
 Ben Simmons,sore left hip,2023-11-08,2024-01-29,82,Hip,Unknown
 Ben Simmons,bruised left knee,2024-01-31,2024-02-01,1,Knee,Knee
 Ben Simmons,lower back injury,2024-02-04,2024-02-06,2,Back,Back
 Ben Simmons,left knee injury,2024-02-14,2024-02-21,7,Knee,Knee
 Ben Simmons,lower back injury,2024-02-27,2024-02-28,1,Back,Back
 Ben Simmons,back injury,2023-11-04,2023-11-06,2,Back,Back
 Ben Simmons,lower back injury,2024-11-04,2024-11-07,3,Back,Back
 Ben Simmons,tightness in left calf,2024-11-13,2024-11-14,1,Calf,Soft Tissue Injury
 Ben Simmons,bruised left knee / lower back injury,2024-12-02,2024-12-04,2,Knee,Knee
 Ben Simmons,sore left calf / various injuries,2025-01-04,2025-01-09,5,Calf,Soft Tissue Injury
 Ben Simmons,lower back injury,2025-01-15,2025-01-16,1,Back,Back
 Ben Simmons,illness,2025-01-21,2025-01-25,4,Unknown,General Ailments
 Ben Simmons,sore lower back,2025-01-25,2025-01-28,3,Back,Back
 Ben Simmons,back injury,2025-02-03,2025-02-05,2,Back,Back
 Ben Simmons,lower back injury,2024-10-28,2024-10-30,2,Back,Back
 Ben Simmons,lower back injury,2024-11-08,2024-11-11,3,Back,Back
 Bennedict Mathurin,illness,2024-02-06,2024-02-08,2,Unknown,General Ailments
 Bennedict Mathurin,bruised right knee,2024-02-14,2024-02-22,8,Knee,Knee
 Bennedict Mathurin,toe injury,2024-01-30,2024-02-02,3,Foot,Unknown
 Bennedict Mathurin,illness,2025-01-29,2025-01-31,2,Unknown,General Ailments
 Bilal Coulibaly,sore right groin,2024-12-23,2024-12-26,3,Groin,Groin
 Bilal Coulibaly,head injury,2024-11-18,2024-11-21,3,Unknown,Unknown
 Bilal Coulibaly,illness,2025-01-02,2025-01-07,5,Unknown,General Ailments
 Bilal Coulibaly,bruised left knee,2023-11-24,2023-11-25,1,Knee,Knee
 Bilal Coulibaly,bruised pelvis,2024-02-26,2024-03-03,6,Unknown,Unknown
 Bismack Biyombo,sore back,2023-12-18,2023-12-19,1,Back,Back
 Blake Griffin,sore lower back,2023-05-05,2023-05-07,2,Back,Back
 Bobby Portis,bruised right elbow,2024-11-13,2024-11-16,3,Elbow,Elbow
 Bogdan Bogdanovic,bruised left lower leg,2025-01-04,2025-01-07,3,Unknown,Unknown
 Bogdan Bogdanovic,bruised quadriceps,2024-12-08,2024-12-11,3,Unknown,Unknown
 Bogdan Bogdanovic,right hamstring injury,2024-11-30,2024-12-02,2,Hamstring,Soft Tissue Injury
 Bogdan Bogdanovic,right hamstring injury,2024-10-24,2024-11-18,25,Hamstring,Soft Tissue Injury
 Bogdan Bogdanovic,illness,2024-03-15,2024-03-17,2,Unknown,General Ailments
 Bogdan Bogdanovic,sprained right ankle,2023-12-16,2023-12-20,4,Ankle,Ankle
 Bogdan Bogdanovic,bruised left lower leg,2024-12-26,2025-01-03,8,Unknown,Unknown
 Bojan Bogdanovic,strained calf,2023-10-24,2023-12-02,39,Calf,Soft Tissue Injury
 Bojan Bogdanovic,sore left calf,2024-02-14,2024-02-20,6,Calf,Soft Tissue Injury
 Bojan Bogdanovic,sore left calf,2024-01-12,2024-01-17,5,Calf,Soft Tissue Injury
 Bojan Bogdanovic,sore left calf,2024-02-08,2024-02-10,2,Calf,Soft Tissue Injury
 Bol Bol,sore/sprained right foot,2024-01-14,2024-01-31,17,Foot,Unknown
 Bol Bol,sprained right ankle,2024-01-06,2024-01-10,4,Ankle,Ankle
 Bol Bol,bruised left knee,2024-12-21,2024-12-31,10,Knee,Knee
 Bradley Beal,right knee injury,2024-12-13,2024-12-19,6,Knee,Knee
