Date,Team,Acquired,Relinquished,Injury Type,Notes
2014-01-01,Clippers,, Reggie Bullock,placed on IL,placed on IL
2014-01-01,Clippers, Maalik Wayns,,activated from IL,activated from IL
2014-01-01,Pelicans, Eric Gordon,,activated from IL,activated from IL
2014-01-01,Blazers, C.J. McCollum,,activated from IL,activated from IL
2014-01-02,Cavaliers,, Kyrie Irving,placed on IL with bruised left knee,placed on IL with bruised left knee
2014-01-02,Cavaliers, Carrick Felix,,activated from IL,activated from IL
2014-01-02,Heat,, James Jones (Andrew),placed on IL,placed on IL
2014-01-02,Heat, Chris Andersen,,activated from IL,activated from IL
2014-01-02,Magic,, Solomon Jones,placed on IL with sprained left ankle,placed on IL with sprained left ankle
2014-01-02,Magic, Solomon Jones,,activated from IL,activated from IL
2014-01-03,Celtics,, MarShon Brooks,placed on IL,placed on IL
2014-01-03,Hawks,, Jared Cunningham,placed on IL,placed on IL
2014-01-03,Raptors,, Tyler Hansbrough,placed on IL with sprained left ankle,placed on IL with sprained left ankle
2014-01-03,Raptors, Austin Daye,,activated from IL,activated from IL
2014-01-03,Raptors, Julyan Stone,,activated from IL,activated from IL
2014-01-03,Raptors,, Dwight Buycks,placed on IL,placed on IL
2014-01-04,Heat,, Shane Battier,placed on IL with sore quadriceps,placed on IL with sore quadriceps
2014-01-04,Heat, James Jones (Andrew),,activated from IL,activated from IL
2014-01-04,Nets,, Kevin Garnett,placed on IL for rest,placed on IL for rest
2014-01-04,Pelicans,, Ryan Anderson,placed on IL with concussion ,placed on IL with concussion / herniated disc in neck (out for season)
2014-01-04,Spurs,, Boris Diaw,placed on IL with strep throat,placed on IL with strep throat
2014-01-06,Clippers,, Chris Paul,placed on IL with separated right shoulder,placed on IL with separated right shoulder
2014-01-06,Clippers, Reggie Bullock,,activated from IL,activated from IL
2014-01-06,Magic, Nikola Vucevic,,activated from IL ,activated from IL (P)
2014-01-06,Nets, Kevin Garnett,,activated from IL,activated from IL
