Player,Injury,Start Date,Return Date,Days Missed,Standardized Injury
 A.J. Green,placed on IL with strained left quadriceps,2025-01-21,2025-01-31,10,placed on IL with strained left quadriceps
 A.J. Green,placed on IL with sprained left ankle,2024-04-11,2024-04-20,9,placed on IL with strained left calf (P)
 A.J. Green,placed on IL with lumbar injury,2025-01-02,2025-01-04,2,placed on IL with lumbar injury
 A.J. Green,placed on IL with illness,2024-03-24,2024-03-25,1,placed on IL with illness
 A.J. Green,placed on IL with nasal fracture,2024-01-02,2024-01-04,2,placed on IL with nasal fracture
 A.J. Griffin,placed on IL with lower leg injury,2024-03-16,2024-04-12,27,placed on IL with lower leg injury
 A.J. Griffin,placed on IL with illness,2023-11-21,2023-11-22,1,placed on IL with illness
 A.J. Griffin,placed on IL with illness,2024-02-12,2024-02-23,11,placed on IL with illness
 A.J. Johnson,placed on IL with Achilles tendinitis,2024-11-22,2024-11-26,4,placed on IL with Achilles tendinitis
 Aaron Gordon,placed on IL with strained right calf,2024-12-26,2025-01-12,17,placed on IL with strained right rotator cuff
 Aaron Gordon,placed on IL with right calf injury,2025-01-15,2025-01-17,2,placed on IL with right adductor injury
 Aaron Gordon,placed on IL with strained right calf,2024-12-07,2024-12-08,1,placed on IL with strained right rotator cuff
 Aaron Gordon,placed on IL with strained right calf,2024-11-05,2024-12-01,26,placed on IL with strained right rotator cuff
 Aaron Gordon,placed on IL with strained right foot,2024-04-06,2024-04-10,4,placed on IL with strained tendon in right foot
 Aaron Gordon,placed on IL with sprained right foot,2024-03-25,2024-03-27,2,placed on IL with strained tendon in right foot
 Aaron Gordon,placed on IL with various injuries,2023-12-27,2024-01-01,5,placed on IL with various injuries
 Aaron Gordon,placed on IL with strained right heel,2023-11-26,2023-12-02,6,placed on IL with strained right knee
 Aaron Gordon,placed on IL with right calf injury,2025-02-03,2025-02-05,2,placed on IL with right adductor injury
 Aaron Nesmith,placed on IL with sprained left ankle,2024-11-08,2025-01-16,69,placed on IL with strained left calf (P)
 Aaron Nesmith,placed on IL with bruised right knee,2024-03-25,2024-03-27,2,placed on IL with bruised tibia in right leg
 Aaron Nesmith,placed on IL with shin injury,2024-01-13,2024-01-19,6,placed on IL with tailbone injury
 Aaron Nesmith,placed on IL with lower leg injury,2024-02-21,2024-03-01,9,placed on IL with lower leg injury
 Aaron Nesmith,placed on IL with right wrist injury,2023-11-22,2023-11-26,4,placed on IL with right wrist injury
 Adam Flagler,placed on IL with bruised right hand,2024-11-27,2024-11-29,2,placed on IL with bruised head
 Adama Sanogo,placed on IL with right knee injury,2025-01-13,2025-01-19,6,placed on IL with meniscus injury in right knee
 Adama Sanogo,placed on IL with knee injury,2024-11-20,2024-11-29,9,placed on IL with neck injury
 Adem Bona,placed on IL with knee injury,2024-12-05,2024-12-19,14,placed on IL with neck injury
 Admiral Schofield,placed on IL with illness,2024-01-09,2024-01-13,4,placed on IL with illness
 Al Horford,illness (DTD),2024-11-22,2024-11-24,2,illness (DTD)
 Al Horford,placed on IL with sprained left big toe,2024-04-09,2024-04-11,2,placed on IL with sprained left big toe
 Al Horford,sprained left big toe (DTD),2024-03-28,2024-03-29,1,sprained left big toe (DTD)
 Al Horford,placed on IL with sprained left big toe,2024-03-22,2024-03-23,1,placed on IL with sprained left big toe
 Al Horford,placed on IL with sprained left big toe,2024-03-18,2024-03-19,1,placed on IL with sprained left big toe
 Al Horford,placed on IL with sprained left big toe,2024-03-12,2024-03-13,1,placed on IL with sprained left big toe
 Al Horford,placed on IL with sprained left toe,2024-02-14,2024-02-21,7,placed on IL with turf toe / sprained left toe
 Al Horford,placed on IL with sprained left big toe,2024-04-12,2024-04-21,9,placed on IL with sprained left big toe
